ax,ay,az,temp
-2.72,-6.86,-8.42,32.66
-3.88,-7.74,-6.3,32.64
-1.13,-11.5,-3.87,32.69
-1.39,-11.01,-0.99,32.65
-1.24,-12.02,0.27,32.67
0.31,-11.95,-0.31,32.68
-0.88,-7.76,-3.46,32.64
-2.36,-4.29,-5.74,32.64
-3.8,-5.89,-4.43,32.66
-2.66,-11.27,-0.91,32.66
-2.25,-10.34,-0.69,32.64
-2.87,-6.72,-4.45,32.69
-1.03,-5.86,-7.07,32.62
-4.19,-8.61,-3.68,32.65
-0.6,-12.07,-1.07,32.64
-2.35,-11.97,-2.19,32.64
-3.44,-6.74,-2.09,32.64
-1.3,-5.72,-8.31,32.71
-3.82,-8.72,-3.58,32.68
-2.37,-11.93,0.67,32.64
-2.02,-10.8,-2.77,32.68
-3.02,-6.65,-3.33,32.69
-2.63,-5.39,-5.36,32.69
-3.78,-8.26,-2.09,32.65
0.02,-13.29,-1.03,32.72
-2.4,-9.48,-1.9,32.66
-2.73,-6.93,-3.48,32.67
-0.38,-5.93,-7.77,32.66
-3.59,-8.1,-2.34,32.62
-0.67,-12.43,0.07,32.67
-0.85,-12.08,-2.02,32.66
-1.73,-6.08,-4.49,32.59
-1.54,-5.49,-7.58,32.64
-3.2,-7.85,-3.31,32.67
-2.12,-11.72,0.25,32.64
-1.4,-10.81,-2.52,32.68
-0.82,-7.56,-5.21,32.7
0.53,-5.28,-5.93,32.68
-0.91,-8.09,-2.89,32.65
-1.53,-12.37,0.18,32.63
-2.95,-11.76,-1.36,32.69
-1.23,-7.42,-5.5,32.67
-1.41,-11.2,-1.43,32.68
-2.38,-10.9,-1.12,32.66
-2.82,-6.37,-4.9,32.67
-1.51,-5.14,-6.68,32.64
-3.4,-9.08,-2.67,32.64
-1.17,-12.38,0.18,32.68
-1.57,-10.61,-2.14,32.67
-0.05,-6.84,-5.61,32.65
1.23,-5.02,-8.19,32.64
-2.17,-9.0,-2.68,32.66
0.83,-13.24,-0.4,32.65
0.55,-11.94,-2.61,32.64
-0.32,-6.26,-5.79,32.63
-0.45,-5.67,-6.59,32.65
-2.09,-9.47,-1.55,32.67
0.61,-13.62,-0.52,32.64
-0.29,-10.18,-2.17,32.63
